Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11",0402,2,15p,C1548
"C206, C207, C209, C211, C212, C213, C214, C215, C216, C40, C50, C51, C81, C82, C90, C92, C93",0402,17,100n,C307331
"C208, C210, C84",0402,3,1u,C52923
"C85, C86, C94, C95",0402,4,22p,C1555
"D1, D2, D88",0603,3,LED,C2286
J6,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
"R1, R2, R89",0603,3,150,C22808
"R12, R30",0402,2,1k,C11702
"R203, R204",0402,2,27,C25100
"R220, R221, R222, R223",0402,4,4.7k,C25900
"R3, R4",0402,2,5.1k,C25905
"R83, R87, R91",0402,3,10k,C25744
"S1, S2",SW_TS-1187A-B-A-B,2,TS-1187A-B-A-B,C318884
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U5,PQFN50P200X200X80-10N,1,BMP388,C779278
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
U9,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,C191253
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
Y1,XTAL_ABS07-32.768KHZ-T,1,ABS07-32.768KHZ-T,C130253
Y2,OSC_X322516MLB4SI,1,X322516MLB4SI,C12668
