Designator,Mid X,Mid Y,Rotation,Layer
C10,149.5,-90.5,0.0,top
C11,147.401053,-90.619624,180.0,top
C206,148.5,-104.75,270.0,top
C207,145.75,-92.25,90.0,top
C208,144.25,-103.75,270.0,top
C209,147.5,-104.5,270.0,top
C210,143.25,-103.75,270.0,top
C211,152.25,-101.0,0.0,top
C212,141.525268,-96.188915,135.0,top
C213,152.523705,-97.122962,0.0,top
C214,146.905904,-92.252137,90.0,top
C215,141.194841,-103.749524,270.0,top
C216,142.194841,-103.749524,270.0,top
C40,150.75,-108.75,180.0,top
C50,136.75,-102.75,270.0,top
C51,134.5,-100.23,90.0,top
C81,167.75,-87.5,0.0,top
C82,164.0,-88.0,180.0,top
C84,159.5,-90.5,0.0,top
C85,171.0,-93.0,270.0,top
C86,171.0,-89.5,270.0,top
C90,140.339105,-82.759702,0.0,top
C92,144.249829,-87.861863,90.0,top
C93,133.942338,-87.740095,90.0,top
C94,133.0,-90.0,270.0,top
C95,131.5,-88.5,90.0,top
D1,147.795,-75.955,90.0,top
D2,151.885,-75.955,90.0,top
D88,156.7125,-92.0,0.0,top
J6,146.41,-117.625,0.0,top
R1,147.795,-79.055,270.0,top
R12,148.0,-92.25,90.0,top
R2,151.885,-79.055,270.0,top
R203,146.400183,-103.75,90.0,top
R204,145.400183,-103.75,90.0,top
R220,165.49,-96.75,180.0,top
R221,163.51,-96.75,180.0,top
R222,139.387026,-102.46872,270.0,top
R223,139.276509,-100.269684,270.0,top
R3,149.505,-112.755,0.0,top
R30,158.75,-112.0,270.0,top
R4,143.005,-112.765,0.0,top
R83,155.30927,-96.382779,90.0,top
R87,159.5,-87.25,90.0,top
R89,154.0,-93.75,180.0,top
R91,144.0,-89.854549,180.0,top
S1,161.955,-117.625,180.0,top
S2,130.865,-117.625,180.0,top
U2,147.1,-98.3125,270.0,top
U4,155.0,-106.75,180.0,top
U5,137.0,-100.5,90.0,top
U8,163.25,-92.1375,270.0,top
U9,138.887999,-87.644025,180.0,top
X1,149.0,-88.0,270.0,top
Y1,169.0,-91.124973,90.0,top
Y2,128.85,-89.051477,180.0,top
